KYTREASNOX,MCALDT,TMYTM
2000002,07/31/1973,8.4860857498
2000002,08/31/1973,8.824905834
2000002,09/28/1973,7.0981469799
2000002,10/31/1973,7.4919613568
2000002,11/30/1973,7.4284461396
2000002,12/31/1973,7.5968964069
2000002,01/31/1974,7.6254994212
2000002,02/28/1974,7.5944974284
2000002,03/29/1974,8.4468675143
2000002,04/30/1974,9.0874559093
2000002,05/31/1974,8.2346993133
2000002,06/28/1974,7.4697617502
2000002,07/31/1974,7.8123951606
2000002,08/30/1974,9.1059201529
2000002,09/30/1974,6.4715419051
2000002,10/31/1974,7.9459671438
2000002,11/29/1974,7.6040458989
2000002,12/31/1974,7.1828269651
2000002,01/31/1975,5.7590305905
2000002,02/28/1975,5.4711837962
2000002,03/31/1975,5.6365042936
2000002,04/30/1975,5.5748147138
2000002,05/30/1975,5.2657080628
2000002,06/30/1975,6.0799933911
2000002,07/31/1975,6.3461991643
2000002,08/29/1975,6.4698136548
2000002,09/30/1975,6.6984165877
2000002,10/31/1975,5.7187927864
2000002,11/28/1975,5.6253723086
2000002,12/31/1975,5.2870112036
2000002,01/30/1976,4.793507349
2000002,02/27/1976,5.0808569608
2000002,03/31/1976,5.0507618548
2000002,04/30/1976,4.9884712072
2000002,05/28/1976,5.5842441574
2000002,06/30/1976,5.4617273092
2000002,07/30/1976,5.2657060085
2000002,08/31/1976,5.1949176252
2000002,09/30/1976,5.1530985609
2000002,10/29/1976,4.9782131247
2000002,11/30/1976,4.4969045407
2000002,12/31/1976,4.4038154861
2000002,01/31/1977,4.8557110778
2000002,02/28/1977,4.7941247057
2000002,03/31/1977,4.609159085
2000002,04/29/1977,4.762715842
2000002,05/31/1977,5.1127429811
2000002,06/30/1977,5.0709500032
2000002,07/29/1977,5.4917251751
2000002,08/31/1977,5.6673768277
2000002,09/30/1977,6.0059253003
2000002,10/31/1977,6.2551105595
2000002,11/30/1977,6.1922433315
2000002,12/30/1977,6.2426617575
2000002,01/31/1978,6.5625602326
2000002,02/28/1978,6.543137695
2000002,03/31/1978,6.6031938383
2000002,04/28/1978,6.3662304155
2000002,05/31/1978,6.779692882
2000002,06/30/1978,7.160057069
2000002,07/31/1978,7.018321163
2000002,08/31/1978,7.6978487686
2000002,09/29/1978,8.151947357
2000002,10/31/1978,8.9422120295
2000002,11/30/1978,9.2200248426
2000002,12/29/1978,9.4782374937
2000002,01/31/1979,9.5118662488
2000002,02/28/1979,9.6780640867
2000002,03/30/1979,9.6650897427
2000002,04/30/1979,9.7326300084
2000002,05/31/1979,9.8118066567
2000002,06/29/1979,9.1566314961
2000002,07/31/1979,9.3988690291
2000002,08/31/1979,10.049452072
2000002,09/28/1979,10.382183362
2000002,10/31/1979,12.451281717
2000002,11/30/1979,11.757541374
2000002,12/31/1979,12.252542994
2000002,01/31/1980,12.334104433
2000002,02/29/1980,14.40678182
2000002,03/31/1980,15.398115222
2000002,04/30/1980,10.635028628
2000002,05/30/1980,7.9037431267
2000002,06/30/1980,8.0934904011
2000002,07/31/1980,8.8052620289
2000002,08/29/1980,10.186034416
2000002,09/30/1980,11.744304686
2000002,10/31/1980,13.064291848
2000002,11/28/1980,14.911354811
2000002,12/31/1980,14.728077853
2000002,01/30/1981,15.027078142
2000002,02/27/1981,14.648476863
2000002,03/31/1981,12.79894301
2000002,04/30/1981,15.314509499
2000002,05/29/1981,15.564031481
2000002,06/30/1981,14.710043968
2000002,07/31/1981,15.332313431
2000002,08/31/1981,16.042144738
2000002,09/30/1981,14.906987098
2000002,10/30/1981,13.10617936
2000002,11/30/1981,10.586059621
2000002,12/31/1981,11.352493138
2000002,01/29/1982,12.82353461
2000002,02/26/1982,12.718902113
2000002,03/31/1982,13.561813254
2000002,04/30/1982,12.614296604
2000002,05/28/1982,11.788866498
2000002,06/30/1982,13.121416444
2000002,07/30/1982,10.423798915
2000002,08/31/1982,8.5897030897
2000002,09/30/1982,7.7805371594
2000002,10/29/1982,8.0588408162
2000002,11/30/1982,8.4549994653
2000002,12/31/1982,8.0795302308
2000002,01/31/1983,8.2591675924
2000002,02/28/1983,8.1038504651
2000002,03/31/1983,8.8363413485
2000002,04/29/1983,8.2553977014
2000002,05/31/1983,8.8592511231
2000002,06/30/1983,8.9814742854
2000002,07/29/1983,9.447104858
2000002,08/31/1983,9.4807235856
2000002,09/30/1983,8.9078097425
2000002,10/31/1983,8.68403077
2000002,11/30/1983,9.0966893005
2000002,12/30/1983,9.1773603983
2000002,01/31/1984,9.1082186049
2000002,02/29/1984,9.366503277
2000002,03/30/1984,9.9663227964
2000002,04/30/1984,9.961418667
2000002,05/31/1984,9.9988758636
2000002,06/29/1984,10.174200815
2000002,07/31/1984,10.678270852
2000002,08/31/1984,10.902604764
2000002,09/28/1984,10.423790593
2000002,10/31/1984,9.2212097886
2000002,11/30/1984,8.6384422661
2000002,12/31/1984,8.031379427
2000002,01/31/1985,8.235641574
2000002,02/28/1985,8.7016290826
2000002,03/29/1985,8.3588910011
2000002,04/30/1985,8.0201399465
2000002,05/31/1985,7.2839221234
2000002,06/28/1985,6.9743407064
2000002,07/31/1985,7.4299738573
2000002,08/30/1985,7.294965834
2000002,09/30/1985,7.2351784478
2000002,10/31/1985,7.3465963087
2000002,11/29/1985,7.3148891372
2000002,12/31/1985,7.2034891431
2000002,01/31/1986,7.1187874415
2000002,02/28/1986,7.1703704883
